"","Season","BirdID","step_id_","case_","Dist.Z","Bin","case2"
"81","Spring Dispersal",251,730,0,-0.527982219102305,"Afternoon",0
"82","Spring Dispersal",251,730,0,-0.35413397030762,"Afternoon",0
"83","Spring Dispersal",251,730,0,-0.379837559675916,"Afternoon",0
"84","Spring Dispersal",251,730,0,-0.369271112661137,"Afternoon",0
"85","Spring Dispersal",251,730,0,-0.467998885498499,"Afternoon",0
"86","Spring Dispersal",251,730,0,-0.270203224852453,"Afternoon",0
"87","Spring Dispersal",251,730,0,-0.375544988914376,"Afternoon",0
"88","Spring Dispersal",251,730,0,-0.342962907962188,"Afternoon",0
"89","Spring Dispersal",251,731,1,-0.377436083955412,"Morning",0
"90","Spring Dispersal",251,731,0,-0.417389770181537,"Morning",0
"91","Spring Dispersal",251,731,0,-0.315726351318879,"Morning",0
"92","Spring Dispersal",251,731,0,-0.402023407267841,"Morning",0
"93","Spring Dispersal",251,731,0,-0.372955980621178,"Morning",0
"94","Spring Dispersal",251,731,0,-0.400352298862092,"Morning",0
"95","Spring Dispersal",251,731,0,-0.118911418940247,"Morning",0
"96","Spring Dispersal",251,731,0,-0.431890909691068,"Morning",0
"97","Spring Dispersal",251,731,0,-0.384808198842056,"Morning",0
"98","Spring Dispersal",251,731,0,-0.382262774500796,"Morning",0
"99","Spring Dispersal",251,731,0,-0.438150645283777,"Morning",0
"100","Spring Dispersal",251,732,1,-0.467770207015846,"Midday",0
"101","Spring Dispersal",251,732,0,-0.375569878291324,"Midday",0
"102","Spring Dispersal",251,732,0,-0.290846598078622,"Midday",0
"103","Spring Dispersal",251,732,0,-0.38156276452526,"Midday",0
"104","Spring Dispersal",251,732,0,-0.377753135720769,"Midday",0
"105","Spring Dispersal",251,732,0,-0.390746737563233,"Midday",0
"106","Spring Dispersal",251,732,0,-0.314409423600927,"Midday",0
"107","Spring Dispersal",251,732,0,-0.389470118423169,"Midday",0
"108","Spring Dispersal",251,732,0,-0.251710431848437,"Midday",0
"109","Spring Dispersal",251,732,0,-0.290496139744158,"Midday",0
"110","Spring Dispersal",251,732,0,-0.509151458135072,"Midday",0
"111","Spring Dispersal",251,733,1,-0.279901045862566,"Morning",0
"112","Spring Dispersal",251,733,0,-0.426904483011002,"Morning",0
"113","Spring Dispersal",251,733,0,-0.523022375174991,"Morning",0
"114","Spring Dispersal",251,733,0,-0.528128012375567,"Morning",0
"115","Spring Dispersal",251,733,0,-0.386703076611242,"Morning",0
"116","Spring Dispersal",251,733,0,-0.466337799028362,"Morning",0
"117","Spring Dispersal",251,733,0,-0.334938138629586,"Morning",0
"118","Spring Dispersal",251,733,0,-0.43211133433887,"Morning",0
"119","Spring Dispersal",251,733,0,-0.425256371547686,"Morning",0
"120","Spring Dispersal",251,733,0,-0.402303125012406,"Morning",0
"121","Spring Dispersal",251,733,0,-0.4659068009647,"Morning",0
"122","Spring Dispersal",251,734,1,-0.132063866788282,"Midday",0
